lurus	straight (ahead); to straighten	errands,verb,handling	Lurus saja dulu, nanti ada gang kecil.	Just keep going straight; there'll be a small alley.
bensin	gasoline	errands	Isi bensin dulu, tinggal sedikit.	Let's fill up first; there's not much left.
gang	small alley/lane	errands	Rumahnya di gang sebelah kanan.	His house is in the alley on the right.
jemput	to pick (someone) up	errands,verb,motion	Nanti saya jemput kamu jam lima.	I'll pick you up at five.
tiduran	to lie down	home	Dia lagi tiduran di sofa.	He's lying down on the sofa.
ganti baju	to change clothes	home	Saya ganti baju dulu, keringatan.	Let me change clothes first; I'm sweaty.
mati lampu	power outage	home	Semalam mati lampu tiga jam.	Last night the power was out for three hours.
nyala	on / lit (of power, lights)	home	Lampunya sudah nyala lagi.	The lights are back on.
sedih	sad	emotion,adjective	Dia sedih karena kucingnya hilang.	She's sad because her cat is missing.
takut	scared	emotion,adjective	Aku takut nonton film horor sendirian.	I'm scared to watch horror films alone.
bahaya	dangerous	emotion	Awas, di situ bahaya!	Watch out, it's dangerous there!
seram	scary, creepy	emotion	Rumah tua itu seram kalau malam.	That old house is creepy at night.
aduh	ouch/oh no — general exclamation	emotion	Aduh, saya lupa bawa kunci!	Oh no, I forgot to bring the keys!
astaga	oh my god — mild exclamation	emotion	Astaga, sudah jam berapa ini?	Oh my god, what time is it?
manis	sweet (also: cute)	emotion,adjective	Tehnya terlalu manis buat saya.	The tea is too sweet for me.
mantap	awesome, solid — approval	emotion	Mantap, hasilnya bagus banget!	Awesome, the result is really good!
asik	fun, enjoyable	emotion	Asik, besok libur!	Nice, tomorrow's a day off!
lumayan	decent, not bad, pretty good	emotion	Rasanya lumayan, tidak mengecewakan.	It tastes decent — not disappointing.
gila	crazy — used as an intensifier exclamation	emotion	Gila, ramai banget di sini!	Crazy, it's so packed here!
suku	ethnic group / tribe (Bali, Lombok/Sasak, Madura, Jawa etc.)	culture	Dia dari suku Sasak di Lombok.	He's from the Sasak people in Lombok.
keturunan	descent, lineage	culture	Dia keturunan Jawa dari pihak ibunya.	He's of Javanese descent on his mother's side.
Ini dari sana?	Is this from there?	phrase	Ini dari sana? Oleh-oleh dari Bali?	Is this from there? A souvenir from Bali?
Nggak apa-apa	It's okay / no worries / it doesn't matter	phrase	“Maaf ya, saya terlambat.” “Nggak apa-apa, santai saja.”	“Sorry I'm late.” “It's fine, no worries.”
Ayo kita nonton	Let's go watch [something]	phrase	Ayo kita nonton, filmnya mulai jam tujuh.	Let's go watch — the film starts at seven.
Sudah semakin lancar	[You're] getting more fluent already	phrase	Bahasa Indonesiamu sudah semakin lancar.	Your Indonesian is getting more fluent already.
Tahu kan berapa nih harganya?	You know how much this costs, right?	phrase	Tahu kan berapa nih harganya? Mahal banget.	You know how much this costs, right? Really expensive.
Kalau tak dengar suaramu	If I don't hear your voice (song lyric quoted mid-conversation)	phrase	Kalau tak dengar suaramu, aku rindu.	If I don't hear your voice, I miss you.
Jangan ganggu	Don't disturb [me]	phrase	Jangan ganggu, aku lagi kerja.	Don't bother me, I'm working.
Sabar	Be patient / hang on	phrase	Sabar, sebentar lagi sampai.	Hang on, we're almost there.
Ya udah	Alright then / fine, okay — resigned agreement	phrase	Ya udah, besok saja kalau begitu.	Alright then, tomorrow in that case.
Nggak seru	Not fun / that's no fun	phrase	Nggak seru kalau kamu nggak ikut.	It's no fun if you don't come.
Apa namanya?	What's it called again? — filler while searching for a word	phrase	Itu, apa namanya, yang buat potong kuku.	That thing — what's it called — the one for cutting nails.
Kamu mau download di anu, di laptopmu?	Do you want to download it on your laptop?	phrase	Kamu mau download di anu, di laptopmu? Biar lebih cepat.	Do you want to download it on, um, your laptop? It'd be faster.
Ini di atas dia menunjukkan Indonesia	Up here it shows Indonesian [on screen]	phrase	Ini di atas dia menunjukkan Indonesia, yang di bawah bahasa Inggris.	Up here it shows Indonesian; the one underneath is English.
Nggak keaslian	It's not the real/original one	phrase	Ini nggak keaslian, cuma tiruan.	This isn't the genuine one, just a copy.
Terlalu maksa	That's too forced / trying too hard	phrase	Jangan terlalu maksa, nanti dia malah kesal.	Don't push it too hard, or he'll just get annoyed.
Kok aneh	That's weird, huh	phrase	Kok aneh ya rasanya?	Weird — it tastes off, doesn't it?
Can I ask a question?	code-switch: Dila asks permission mid-Indonesian-sentence in English	codeswitch	Jadi kalau misalnya — can I ask a question? — itu gimana?	So if, say — can I ask a question? — how does that work?
Reprimanded	code-switch: Devin supplies the English legal term Dila reaches for	codeswitch	Dia kena apa itu, reprimanded, di kantornya.	He got, what is it, reprimanded at his office.
sayangku's kids' ankle	running joke/mishearing during the recording — good example of ASR mangling affectionate teasing	codeswitch	Yang dimaksud sebenarnya “sayangku” — mesinnya yang salah dengar.	What was actually said was “sayangku” (my darling) — the machine misheard it.
